8.644885624570258499e-15	1.107495552546241793e-12	2.097348129276073697e-12	1.493678155971957312e-11	6.397307352874177187e-12	1.039951104970192315e-12	1.083559119465409278e-14
8.721514400384257293e-15	1.118356669015672185e-12	2.110292948051219804e-12	1.510400075434006066e-11	6.473994748424865834e-12	1.052226497068205993e-12	1.095264559304746454e-14
8.799483488404397197e-15	1.129416805426953899e-12	2.123413604130349274e-12	1.527439504564754202e-11	6.552206381944878302e-12	1.064744646299586753e-12	1.107192303891356312e-14
8.878828555676909925e-15	1.140681355427896287e-12	2.136714186582405562e-12	1.544805108023377450e-11	6.631985182230106579e-12	1.077512378141259652e-12	1.119348471982341324e-14
8.959586540158894672e-15	1.152155906372784289e-12	2.150198919901656595e-12	1.562505861750541900e-11	6.713375655256394054e-12	1.090536768682820119e-12	1.131739404059730807e-14
9.041795707492506513e-15	1.163846248010537720e-12	2.163872169793364738e-12	1.580551066917759417e-11	6.796423956011561448e-12	1.103825156038190654e-12	1.144371672336600589e-14
9.125495710834351024e-15	1.175758381641523915e-12	2.177738449261655154e-12	1.598950364628469300e-11	6.881177964244805027e-12	1.117385152379598466e-12	1.157252091305381663e-14
9.210727653932838544e-15	1.187898529772627332e-12	2.191802425018247852e-12	1.617713751418323747e-11	6.967687364382962222e-12	1.131224656633495111e-12	1.170387728862699792e-14
9.297534157660092887e-15	1.200273146302321610e-12	2.206068924232052360e-12	1.636851595605560377e-11	7.056003729881395100e-12	1.145351867880946025e-12	1.183785918047635246e-14
9.385959430220308417e-15	1.212888927269831544e-12	2.220542941641057015e-12	1.656374654546078339e-11	7.146180612296730967e-12	1.159775299508148073e-12	1.197454269432951106e-14
9.476049341272559592e-15	1.225752822204968138e-12	2.235229647049522040e-12	1.676294092851845735e-11	7.238273635390361164e-12	1.174503794156117471e-12	1.211400684211805325e-14
9.567851500224042002e-15	1.238872046117953258e-12	2.250134393235132310e-12	1.696621501635669843e-11	7.332340594594404766e-12	1.189546539522271548e-12	1.225633368025606922e-14
9.661415338968727629e-15	1.252254092171515815e-12	2.265262724292645810e-12	1.717368918850051013e-11	7.428441562197210187e-12	1.204913085070611463e-12	1.240160845582133620e-14
9.756792199367391264e-15	1.265906745080725744e-12	2.280620384442497564e-12	1.738548850793000040e-11	7.526638998632520758e-12	1.220613359711540539e-12	1.254991976116766665e-14
9.854035425787542240e-15	1.279838095289538254e-12	2.296213327335018049e-12	1.760174294859276440e-11	7.626997870286069042e-12	1.236657690517058265e-12	1.270135969753732793e-14
9.953200463046411224e-15	1.294056553976777897e-12	2.312047725883216775e-12	1.782258763621563826e-11	7.729585774265556885e-12	1.253056822542155492e-12	1.285602404828674189e-14
1.005434496012683216e-14	1.308570868948438371e-12	2.328129982659633182e-12	1.804816310332643038e-11	7.834473070614884540e-12	1.269821939828834768e-12	1.301401246238652175e-14
1.015752888006505204e-14	1.323390141477613447e-12	2.344466740895518799e-12	1.827861555946885055e-11	7.941733022491639473e-12	1.286964687675187888e-12	1.317542864890899890e-14
1.026281461644105873e-14	1.338523844158278895e-12	2.361064896123592583e-12	1.851409717767081113e-11	8.051441944868199941e-12	1.304497196258565704e-12	1.334038058327336012e-14
1.037026711693665127e-14	1.353981839844442006e-12	2.377931608508888550e-12	1.875476639831223329e-11	8.163679362362266190e-12	1.322432105709087144e-12	1.350898072608030274e-14
1.047995401446411367e-14	1.369774401751983324e-12	2.395074315915769918e-12	1.900078825163082864e-11	8.278528176851713698e-12	1.340782592737524620e-12	1.368134625543586579e-14
1.059194576640941799e-14	1.385912234806832583e-12	2.412500747763056538e-12	1.925233470020573059e-11	8.396074845582749467e-12	1.359562398930211804e-12	1.385759931373771164e-14
