7.250000000000000000e+03	-3.119999999999999944e-03
7.290080160320640971e+03	-3.119999999999999944e-03
7.330160320641282851e+03	-3.119999999999999944e-03
7.370240480961923822e+03	-3.119999999999999944e-03
7.410320641282564793e+03	-3.119999999999999944e-03
7.450400801603206673e+03	-3.119999999999999944e-03
7.490480961923847644e+03	-3.119999999999999944e-03
7.530561122244488615e+03	-3.119999999999999944e-03
7.570641282565130496e+03	-3.119999999999999944e-03
7.610721442885771467e+03	-3.119999999999999944e-03
7.650801603206412437e+03	-3.119999999999999944e-03
7.690881763527054318e+03	-3.119999999999999944e-03
7.730961923847695289e+03	-3.119999999999999944e-03
7.771042084168337169e+03	-3.119999999999999944e-03
7.811122244488978140e+03	-3.119999999999999944e-03
7.851202404809619111e+03	-3.119999999999999944e-03
7.891282565130260991e+03	-3.119999999999999944e-03
7.931362725450901962e+03	-3.119999999999999944e-03
7.971442885771542933e+03	-3.119999999999999944e-03
8.011523046092184813e+03	-3.119999999999999944e-03
8.051603206412825784e+03	-3.119999999999999944e-03
8.091683366733466755e+03	-3.119999999999999944e-03
8.131763527054108636e+03	-3.119999999999999944e-03
8.171843687374749607e+03	-3.119999999999999944e-03
8.211923847695390577e+03	-3.119999999999999944e-03
8.252004008016032458e+03	-3.119999999999999944e-03
8.292084168336674338e+03	-3.119999999999999944e-03
8.332164328657314400e+03	-3.119999999999999944e-03
8.372244488977956280e+03	-3.119999999999999944e-03
8.412324649298596341e+03	-3.119999999999999944e-03
8.452404809619238222e+03	-3.119999999999999944e-03
8.492484969939880102e+03	-3.119999999999999944e-03
8.532565130260521983e+03	-3.119999999999999944e-03
8.572645290581162044e+03	-3.119999999999999944e-03
8.612725450901803924e+03	-3.119999999999999944e-03
8.652805611222443986e+03	-3.119999999999999944e-03
8.692885771543085866e+03	-3.119999999999999944e-03
8.732965931863727747e+03	-3.119999999999999944e-03
8.773046092184369627e+03	-3.119999999999999944e-03
8.813126252505009688e+03	-3.119999999999999944e-03
