1.726643587157290161e-14	1.780345984531641370e-14	2.456034581783488839e-14	2.430619591671457376e-14	1.401442971202034306e-14	1.696675696001964202e-14	3.722730651766237804e-15	1.354654375851904020e-14	1.131648392279124204e-14	1.574483505974087031e-17	8.988922384007191038e-16	4.142101511779032429e-16	7.300367507638407218e-15	1.778963752926370774e-15	2.857523286242758687e-16	1.500622953550604024e-13	2.914834077683342053e-15	3.189971550427975266e-14	2.418805762524619172e-14	1.345059747911243223e-14	4.272829252073430826e-17	1.567309680007173467e-14	2.814343774857840958e-15	3.097868127461599443e-14	2.121501572125836146e-15	1.032971486367419237e-13
1.790043791028137704e-14	1.845844654259130378e-14	2.546638480846837625e-14	2.520623391659989931e-14	1.453408054660454505e-14	1.759780306604458984e-14	3.861440820317852311e-15	1.405227654814413162e-14	1.174032390866006366e-14	1.633575035435578429e-17	9.327719347228824485e-16	4.298770428077802805e-16	7.577116429540652016e-15	1.846715739826456259e-15	2.966725742643577978e-16	1.558645276996336215e-13	3.028104090069248668e-15	3.314479647125932567e-14	2.513526165080256206e-14	1.397904812371032697e-14	4.441280718621177488e-17	1.629284713832476650e-14	2.926032709688453037e-15	3.221188633601535665e-14	2.206361081752583504e-15	1.074468822445618425e-13
1.855635123377965747e-14	1.913615898259247610e-14	2.640401664647155855e-14	2.613772362309793486e-14	1.507188744392599676e-14	1.825089073677784567e-14	4.004998432722033662e-15	1.457570632181496642e-14	1.217904588273711829e-14	1.694746159845615771e-17	9.678476278133810808e-16	4.460975558585602546e-16	7.863650913293855309e-15	1.916869604566767844e-15	3.079811190165553336e-16	1.618746341584389461e-13	3.145442439909541757e-15	3.443474166915544987e-14	2.611669045175930605e-14	1.452664208071979232e-14	4.615848270991348010e-17	1.693513644362007003e-14	3.041791207729795429e-15	3.349010531838456851e-14	2.294328477987589628e-15	1.117491145916032055e-13
1.923497885476648872e-14	1.983738592171711455e-14	2.737433163536298462e-14	2.710182032133491655e-14	1.562852741160056134e-14	1.892684108369035000e-14	4.153580717061564724e-15	1.511746325157415964e-14	1.263316274722560051e-14	1.758068389657374334e-17	1.004161729061021246e-15	4.628917257873201602e-16	8.160324618733501168e-15	1.989509784688998982e-15	3.196913782739820248e-16	1.681000567173893001e-13	3.266993388182020388e-15	3.577111511939390539e-14	2.713353137249216336e-14	1.509404704061762025e-14	4.796747748434307486e-17	1.760076720674499064e-14	3.161764639550008771e-15	3.481493957540365711e-14	2.385513022805868423e-15	1.162091774124655871e-13
1.993719728273918807e-14	2.056297522697101273e-14	2.837844416342986362e-14	2.809967132878018661e-14	1.620467787011055260e-14	1.962650097356513808e-14	4.307373453800420033e-15	1.567821424961094054e-14	1.310321320080742556e-14	1.823615683928595276e-17	1.041757146125087930e-15	4.802799874894602155e-16	8.467502591901979103e-15	2.064724899122375734e-15	3.318173598343151181e-16	1.745484320405277383e-13	3.392907232205064482e-15	3.715555025906141251e-14	2.818701619654596477e-14	1.568194973340635187e-14	4.984200062948499178e-17	1.829056194499322762e-14	3.286103005305507825e-15	3.618805195932870348e-14	2.480028627751229756e-15	1.208326039944103329e-13
2.066390666705006644e-14	2.131381416689426641e-14	2.941749547747718387e-14	2.913239542923009450e-14	1.680099700493478448e-14	2.035070814948464984e-14	4.466563832906675396e-15	1.625864365647061066e-14	1.358975727605307317e-14	1.891464457649481903e-17	1.080677018103742254e-15	4.982827609353794718e-16	8.785552300988509497e-15	2.142606251854513584e-15	3.443735943430420186e-16	1.812274787640056156e-13	3.523337943365438544e-15	3.858973830233634341e-14	2.927841991116232481e-14	1.629105627884251542e-14	5.178430508398427841e-17	1.900535655351207253e-14	3.414959097881210271e-15	3.761114626742458419e-14	2.577993054711144134e-15	1.256251223613156855e-13
2.141597959455410804e-14	2.209080209028608787e-14	3.049266361685785471e-14	3.020109893204695148e-14	1.741812628089308479e-14	2.110027448085237130e-14	4.631335409763410431e-15	1.685943513767102166e-14	1.409336994235119095e-14	1.961693658077113593e-17	1.120965136760565804e-15	5.169204027355760064e-16	9.114839511699718861e-15	2.223246394962930090e-15	3.573750375289981889e-16	1.881449760819738378e-13	3.658441414902126900e-15	4.007541465695870778e-14	3.040905905135973481e-14	1.692209508320174058e-14	5.379669851671005042e-17	1.974600149910966152e-14	3.548487824858340498e-15	3.908595383669364109e-14	2.679527081143461880e-15	1.305926459939676174e-13
2.219423787797764019e-14	2.289483095747115683e-14	3.160517623822290586e-14	3.130692269529078105e-14	1.805671573237438027e-14	2.187599863918652500e-14	4.801868278684230084e-15	1.748126554437129066e-14	1.461463663243910446e-14	2.034384926009882067e-17	1.162666896231292148e-15	5.362135915636034037e-16	9.455731931182988404e-15	2.306738628569632218e-15	3.708370074251352003e-16	1.953088577923298741e-13	3.798375459848735955e-15	4.161435208670883706e-14	3.158029141234366078e-14	1.757582132975348634e-14	5.588156880521391196e-17	2.051337135362826439e-14	3.686847265491150365e-15	4.061423657580801294e-14	2.784754179858526648e-15	1.357412711026177678e-13
2.299947295383796454e-14	2.372678586073028788e-14	3.275632016632134174e-14	3.245109663052959359e-14	1.871745986333106405e-14	2.267870372006779236e-14	4.978344864995069880e-15	1.812481552290540012e-14	1.515415375348090125e-14	2.109622813200757913e-17	1.205830305390322121e-15	5.561839759316932158e-16	9.808609384805228626e-15	2.393177851965175539e-15	3.847752049632754564e-16	2.027273827138979043e-13	3.943301798123107890e-15	4.320836618410297321e-14	3.279351831137904005e-14	1.825302115662265289e-14	5.804141240618405818e-17	2.130837850635216481e-14	3.830201104697009960e-15	4.219780716818690870e-14	2.893801017012163703e-15	1.410772865938632107e-13
2.383250203754226782e-14	2.458756726920323174e-14	3.394744295297117629e-14	3.363497238078879337e-14	1.940112517684692676e-14	2.350928097367338198e-14	5.160958601364183086e-15	1.879079256674539235e-14	1.571253466255042329e-14	2.187494995356317364e-17	1.250506529712550835e-15	5.768547530627738905e-16	1.017387552430974787e-14	2.482662449504882446e-15	3.992058231153943811e-16	2.104092965884002265e-13	4.093389169221365288e-15	4.485933221261122699e-14	3.405018925838920100e-14	1.895451366874695495e-14	6.027885149518558686e-17	2.213198424190006180e-14	3.978721284184476245e-15	4.383855756388180800e-14	3.006798634847080218e-15	1.466071962975858169e-13
